機種,REV,受注額,部品番号,附属書番号,供給元,注番,名称,数量,納期,工番・分番,材料費,加工費
F7ALL,A,,TF304261P1,19-000146,-(株)ユタカ,45009,BUSH ANTI WEAR TGB,10,2026/05/08,04619000-0691,"95,340","556,330"
F7ALL,,,F817576P 1,19-00064-,(株)ユタカ,45059,SPACER,10,2026/04/27,04619000-0691,"2,300","79,130"
F7ALL,,,'TF304276P 1,19-00083-,(株)ユタカ,45176,PLATE BLANKING INNER,10,2026/05/15,04619000-0691,"13,530","155,870"
F7ALL,A,,TF3061 25P1,19-000144,,45177,BOLT BUMPER HPC —is,100,2026/05/15,04619000-0691,"7,300","804,800"
F7ALL,A,,TF304123P 1,19-000146,(株)ユタカ,45178,PLATE BLANKING OT RR,40,2026/05/15,04619000-0691,"24,280","287,760"
F7ALL,A,,TF106500P3,19-000144,(株)ユタカ,45179,PIN HPC INNER RING,64,2026/05/15,04619000-0691,"4,160","437,248"
F7ALL,A,,TF304122P1,19-000146,(株)ユタカ,45180,PLATE BLANKING OT FR,10,2026/05/22,04619000-0691,"7,510","71,940"
F7ALL,A,,TF108488P1,19-000150,日東造機株式会社,45181,WASHER RETAINING —_—©,288,2026/05/28,04619000-0691,"31,392","499,680"
F7ALL,A,,TF 108488P1,19-000150,日東造機株式会社,45182,WASHER RETAINING,288,2026/05/28,-04619000-0691,"31,392","499,680"
F7ALL,C,,TF315426G1,19-000120,(株)ユタカ,45173,BRACKET ACOG TOP,6,2026/05/28,04619000-0691,"170,736","1,107,876"
F7 ALL,A,,TF315423G1,19-000135-,(株)ユタカ」,45174,LUG ACOC TOP,4,2026/05/28,04619000-0691,"321,652","920,832"
